A201・202,Codename ZERO,【緊急連絡】以前から目をつけていた組織のアジトから暗号らしきものが発見された。侵入して暗号を解読し情報を盗み出してほしい。至急A201・202まで来てくれ。,,,
A211,エスペラント同好会,ことば、使ってますか？当会ではエスペラントを始めとする様々な言語を遊びながら作った同好会会誌を布いたします。是非、お手に取ってぽんわりとお楽しみくださいませ！,,,
A 会場 2 階 本館ホール,開成ピアノの会定期演奏会,「開成ピアノの会」のメンバーによる、ピアノ曲の発表です。クラシックを中心にメンバーが練習した曲を披露します。ぜひお越しください！,,,
A 会場 2 階 本館ホール,彼女は手品好き♡,今年もマジックショーを開催します。不思議、驚き、興奮の数々。鳩やカードなどの大迫力のステージをお楽しみください。A408 ではテーブルマジックを披露しています。,,,
A 会場 2 階 本館ホール,開成王,一般参加者同士のクイズ大会を実施します。競技クイズ経験者の方は参加を控えてください。,,,
A 会場 2 階 本館ホール,VS ！ 先生‼,開成学園の教員と一般参加者のクイズ対決を実施します。競技クイズ経験者の方は参加を控えてください。,,,
A 会場 1 階～ 4 階,階段「壁画製作」,開成学園は創立 150 周年を迎えます。それを記念して壁画制作をしました。中高生の有志が、解体される校舎への感謝の気持ちを込め、原画を作成し、夏休みの間に着色を行いました。1 階から 2 階の階段の壁には創立当時の昔を、2 階から 3 階の階段の壁には現在の自分達を、3 階から 4 階の階段の壁には現在から 150 年後の未来をイメージして描きました。高校校舎は今年で解体されるので、この絵が文化祭で見られるのは今回が最初で最後です。是非ご覧ください。,,,
A301・302,鉄研の車窓から 2020,今年のテーマは「地下鉄」です。今年も部誌「乗降場」の配布の他、模型運転体験やシュミレータ体験も感染への配慮を施し例年通り実施します。ぜひお越し下さい。,,,
A303・304,天文気象部,天文気象部では宇宙や大気のことについて模型や実験を通して紹介しています。さらに今年は例年とは違う三密を避けたプラネタリウムも開催しています。ぜひお越しください。,,,
A305,まったり TRPG 広場,TRPG とは：各々が役を演じながら進んでいくゲームです。アニメ・サブカルチャー研究同好会が初めての方でも楽しめるシナリオを用意しております。ぜひお越しください！,,,
A305,大道芸、自由自在。,今年はなんと、毎年 JGK のメンバーが作っているバルーンアートの体験ができます！ もちろん、例年通り公演やバルーン配布も行います。ぜひお越しください！,,,
A306,金の匙 5G,2 年連続参団グランプリ獲得中の大人気参団「金の匙」シリーズが今年も降臨！圧倒的な楽しさで皆さんのハートをすくっちゃいます。君は完全制覇なるか……？,,,
A307,社会科研究部,社会科研究部では、今年も入試予想問題を配布中！ さらに、近年よく耳にする「天皇制」の展示や、時事問題、クイズなど様々な企画があります。ぜひ社研へお越しください。,,,
A308,キャップストーリーマニア,キャップ投げとアトラクションの楽しさをもつキャップシューティングアトラクション。キャップ投げができる人はもちろん、投げられない人でも参加できるようになってます。,,,
A401,クイズ研究部,早押しクイズ体験を実施しています。競技クイズ経験者の方は参加を控えてください。,,,
A402,弁論文春,言葉を使い他人を説得する競技、ディベート。オンラインでも熱い試合を実演します。あの超有名校と繰り広げる激論の勝敗を決めるのは貴方だ㾗,,,
A403,Letʼs talk Kaisei,受験生はもちろん、開成生とお話がしたい方へ！ 普段の生活、入試、部活動など、あなたの質問に直接開成生が答えます。さあ、お気軽に開成生と Letʼs talk ！,,,
A404,オオカミ君には殺されない,人狼の世界へと変貌した H1-5……。お互いに腹の内を探り合うデスゲームが今始まる。開成オリジナルの人狼ゲームを君の手で遊び尽くせ。,,,
A405,UPDATE,時は 2051 年。世界的に普及したアンドロイドが暴走、世界は崩壊の危機に瀕していた。残された君たちは 149th 開成祭へと転送され、暴走の原因調査を行うこととなる̶̶。,,,
A406,ワールドチェスクラブ,チェスやシャンチー（中国将棋）、どうぶつしょうぎといった様々な「世界の将棋」の展示・対戦を行っています。ルールは知らなくても大丈夫。お気軽にお越しください。,,,
A406,紳士の娯楽,世界で一番多くの人に遊ばれているトランプゲーム、コントラクトブリッジ。運の要素を極力排除した優雅で知的なゲームであるブリッジを、簡単にわかりやすくお教えします！,,,
A407,KCG,高 2 有志で結成するカジノ参団、堂々のフィナーレ！日常から切り離された空間で、経験豊富なディーラーとカジノを楽しみませんか？,,,
A408,彼女は手品好き♡,手品部です！ 目の前でマジシャン達が織り成す奇跡の数々をお楽しみ下さい。誰もが楽しめる内容です。本館ホールではステージマジックを披露しています。,,,
